GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BZK001,BZK002
"G1550015H0001","1940","Hawaii Territory","155","Hawaii","0015","H","0001",,"HAWAII County Tract H0001  - PUNA DISTRICT",1475,1000
"G1550015H0002","1940","Hawaii Territory","155","Hawaii","0015","H","0002",,"HAWAII County Tract H0002  - PUNA DISTRICT",3040,2218
"G1550015H0003","1940","Hawaii Territory","155","Hawaii","0015","H","0003",,"HAWAII County Tract H0003  - SOUTH HILO DISTRICT (HILO CITY)",1552,1411
"G1550015H0004","1940","Hawaii Territory","155","Hawaii","0015","H","0004",,"HAWAII County Tract H0004  - SOUTH HILO DISTRICT (HILO CITY)",5192,4694
"G1550015H0005","1940","Hawaii Territory","155","Hawaii","0015","H","0005",,"HAWAII County Tract H0005  - SOUTH HILO DISTRICT (HILO CITY)",3298,3104
"G1550015H0006A","1940","Hawaii Territory","155","Hawaii","0015","H","0006","A","HAWAII County Tract H0006A - SOUTH HILO DISTRICT (HILO CITY)",2385,1717
"G1550015H0006B","1940","Hawaii Territory","155","Hawaii","0015","H","0006","B","HAWAII County Tract H0006B - SOUTH HILO DISTRICT",569,324
"G1550015H0007","1940","Hawaii Territory","155","Hawaii","0015","H","0007",,"HAWAII County Tract H0007  - SOUTH HILO DISTRICT",3996,2794
"G1550015H0008","1940","Hawaii Territory","155","Hawaii","0015","H","0008",,"HAWAII County Tract H0008  - SOUTH HILO DISTRICT",900,652
"G1550015H0009","1940","Hawaii Territory","155","Hawaii","0015","H","0009",,"HAWAII County Tract H0009  - NORTH HILO DISTRICT",851,588
"G1550015H0010","1940","Hawaii Territory","155","Hawaii","0015","H","0010",,"HAWAII County Tract H0010  - NORTH HILO DISTRICT",1490,789
"G1550015H0011","1940","Hawaii Territory","155","Hawaii","0015","H","0011",,"HAWAII County Tract H0011  - NORTH HILO DISTRICT",487,263
"G1550015H0012","1940","Hawaii Territory","155","Hawaii","0015","H","0012",,"HAWAII County Tract H0012  - HAMAKUA DISTRICT",2457,1494
"G1550015H0013","1940","Hawaii Territory","155","Hawaii","0015","H","0013",,"HAWAII County Tract H0013  - HAMAKUA DISTRICT",2624,1669
"G1550015H0014","1940","Hawaii Territory","155","Hawaii","0015","H","0014",,"HAWAII County Tract H0014  - NORTH KOHALA DISTRICT",2952,1926
"G1550015H0015","1940","Hawaii Territory","155","Hawaii","0015","H","0015",,"HAWAII County Tract H0015  - NORTH KOHALA DISTRICT",274,210
"G1550015H0016","1940","Hawaii Territory","155","Hawaii","0015","H","0016",,"HAWAII County Tract H0016  - SOUTH KOHALA DISTRICT",720,632
"G1550015H0017","1940","Hawaii Territory","155","Hawaii","0015","H","0017",,"HAWAII County Tract H0017  - NORTH KONA DISTRICT",168,147
"G1550015H0018","1940","Hawaii Territory","155","Hawaii","0015","H","0018",,"HAWAII County Tract H0018  - NORTH KONA DISTRICT",2012,1597
"G1550015H0019","1940","Hawaii Territory","155","Hawaii","0015","H","0019",,"HAWAII County Tract H0019  - SOUTH KONA DISTRICT",1789,1505
"G1550015H0020","1940","Hawaii Territory","155","Hawaii","0015","H","0020",,"HAWAII County Tract H0020  - SOUTH KONA DISTRICT",398,332
"G1550015H0021","1940","Hawaii Territory","155","Hawaii","0015","H","0021",,"HAWAII County Tract H0021  - KAU DISTRICT",1280,805
"G1550015H0022","1940","Hawaii Territory","155","Hawaii","0015","H","0022",,"HAWAII County Tract H0022  - KAU DISTRICT",2360,1136
"G15500350001","1940","Hawaii Territory","155","Honolulu","0035",,"0001",,"HONOLULU County Tract 0001 - HONOLULU DISTRICT (HONOLULU CITY)",4110,1817
"G15500350002","1940","Hawaii Territory","155","Honolulu","0035",,"0002",,"HONOLULU County Tract 0002 - HONOLULU DISTRICT (HONOLULU CITY)",4720,4032
"G15500350003","1940","Hawaii Territory","155","Honolulu","0035",,"0003",,"HONOLULU County Tract 0003 - HONOLULU DISTRICT (HONOLULU CITY)",4902,4881
"G15500350004","1940","Hawaii Territory","155","Honolulu","0035",,"0004",,"HONOLULU County Tract 0004 - HONOLULU DISTRICT (HONOLULU CITY)",1407,1324
"G15500350005","1940","Hawaii Territory","155","Honolulu","0035",,"0005",,"HONOLULU County Tract 0005 - HONOLULU DISTRICT (HONOLULU CITY)",2887,2150
"G15500350006","1940","Hawaii Territory","155","Honolulu","0035",,"0006",,"HONOLULU County Tract 0006 - HONOLULU DISTRICT (HONOLULU CITY)",4439,3987
